#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,name
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T04:10:00Z,23420576.5,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T04:20:00Z,23423888.166666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T04:30:00Z,23427088.8,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T04:40:00Z,23430299.7,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T04:50:00Z,23433507.933333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T05:00:00Z,23436510.3,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T05:10:00Z,23439671.666666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T05:20:00Z,23443069.7,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T05:30:00Z,23446442.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T05:40:00Z,23449824.633333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T05:50:00Z,23452967.333333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T06:00:00Z,23456275.333333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T06:10:00Z,23459738.866666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T06:20:00Z,23463051.133333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T06:30:00Z,23466370.2,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T06:40:00Z,23469709.333333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T06:50:00Z,23473193,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T07:00:00Z,23476616.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T07:10:00Z,23479787.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T07:20:00Z,23483051.633333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T07:30:00Z,23486127.7,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T07:40:00Z,23489162.233333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T07:50:00Z,23492266.033333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T08:00:00Z,23495534.933333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T08:10:00Z,23498945.633333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T08:20:00Z,23502331.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T08:30:00Z,23505665.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T08:40:00Z,23508841.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T08:50:00Z,23511825.966666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T09:00:00Z,23514802.8,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T09:10:00Z,23517868.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T09:20:00Z,23520999.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T09:30:00Z,23524183.3,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T09:40:00Z,23527188.3,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T09:50:00Z,23530248.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T10:00:00Z,23533296.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T10:10:00Z,23536312.233333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T10:20:00Z,23539331.666666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T10:30:00Z,23542318.1,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T10:40:00Z,23545346.933333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T10:50:00Z,23548335.033333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T11:00:00Z,23551215.3,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T11:10:00Z,23554136.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T11:20:00Z,23557314.966666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T11:30:00Z,23560646.333333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T11:40:00Z,23564018.1,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T11:50:00Z,23567333.266666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T12:00:00Z,23570683.033333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T12:10:00Z,23574056.566666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T12:20:00Z,23577466.933333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T12:30:00Z,23580861.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T12:40:00Z,23584295.233333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T12:50:00Z,23587578.233333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T13:00:00Z,23590971.5,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T13:10:00Z,23594317.333333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T13:20:00Z,23597695.2,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T13:30:00Z,23601151.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T13:40:00Z,23604475.966666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T13:50:00Z,23607857.733333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T14:00:00Z,23611219.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T14:10:00Z,23614312.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T14:20:00Z,23617530.3,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T14:30:00Z,23620691.866666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T14:40:00Z,23623910.033333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T14:50:00Z,23627052.433333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T15:00:00Z,23630217.733333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T15:10:00Z,23633409.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T15:20:00Z,23636589.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T15:30:00Z,23639656.933333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T15:40:00Z,23642861.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T15:50:00Z,23646128.8,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T16:00:00Z,23649304.866666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T16:10:00Z,23652481.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T16:20:00Z,23655533.7,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T16:30:00Z,23658613.033333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T16:40:00Z,23661682.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T16:50:00Z,23664757.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T17:00:00Z,23667907.233333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T17:10:00Z,23671159.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T17:20:00Z,23674402.733333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T17:30:00Z,23677539.3,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T17:40:00Z,23680759.633333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T17:50:00Z,23684086.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T18:00:00Z,23687233.233333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T18:10:00Z,23690398.7,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T18:20:00Z,23693592.333333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T18:30:00Z,23696765.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T18:40:00Z,23699881.2,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T18:50:00Z,23703090.533333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T19:00:00Z,23706109.033333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T19:10:00Z,23709276.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T19:20:00Z,23712356.5,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T19:30:00Z,23715550.1,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T19:40:00Z,23718797.866666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T19:50:00Z,23722029.166666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T20:00:00Z,23725089.666666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T20:10:00Z,23728264.8,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T20:20:00Z,23731424.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T20:30:00Z,23734588.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T20:40:00Z,23737827.966666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T20:50:00Z,23741008.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T21:00:00Z,23744045.166666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T21:10:00Z,23747035.6,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T21:20:00Z,23750059.533333335,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T21:30:00Z,23753157.2,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T21:40:00Z,23756192.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T21:50:00Z,23759238.733333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T22:00:00Z,23762480.266666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T22:10:00Z,23765791.833333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T22:20:00Z,23769150.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T22:30:00Z,23772305.266666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T22:40:00Z,23775337.6,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T22:50:00Z,23778550.2,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T23:00:00Z,23781818.5,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T23:10:00Z,23785116.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T23:20:00Z,23788556.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T23:30:00Z,23791997.333333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T23:40:00Z,23795408.733333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T23:50:00Z,23798883.666666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T00:00:00Z,23802287.833333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T00:10:00Z,23805706.833333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T00:20:00Z,23808995.8,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T00:30:00Z,23812423.166666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T00:40:00Z,23815923.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T00:50:00Z,23819377.266666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T01:00:00Z,23822871.966666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T01:10:00Z,23826244.3,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T01:20:00Z,23829677.833333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T01:30:00Z,23833133.766666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T01:40:00Z,23836545.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T01:50:00Z,23839891.166666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T02:00:00Z,23843192.133333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T02:10:00Z,23846589.066666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T02:20:00Z,23850032.133333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T02:30:00Z,23853408.866666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T02:40:00Z,23856834.9,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T02:50:00Z,23860136.1,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T03:00:00Z,23863426.566666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T03:10:00Z,23866959.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T03:20:00Z,23870548.566666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T03:30:00Z,23874002.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-20T03:40:00Z,23877330.266666666,io_time,diskio,35c4ab29f7e3,sda
